,start,end,Delta,R2_Raw,R2_SGF
0,0,17,17,0.82,0.99
1,18,21,3,0.85,1.0
2,22,41,19,0.73,0.85
3,42,54,12,0.85,1.0
4,55,70,15,0.91,0.99
5,71,87,16,0.84,0.99
6,88,276,188,0.74,0.9
7,277,397,120,0.91,0.98
8,398,497,99,0.72,0.91
