,start,end,Delta,R2_Raw,R2_SGF
0,0,25,25,0.34,0.8
1,26,53,27,0.09,0.77
2,54,78,24,0.2,0.7
3,79,106,27,0.25,0.92
4,107,131,24,0.19,0.75
5,132,159,27,0.09,0.79
6,160,184,24,0.45,0.84
7,185,211,26,0.14,0.6
8,212,326,114,0.55,0.89
9,327,354,27,0.14,0.84
10,355,454,99,0.78,0.92
11,455,483,28,0.81,0.95
12,484,510,26,0.49,0.82
13,511,542,31,0.77,0.93
14,543,568,25,0.16,0.51
15,569,586,17,0.61,0.85
16,587,648,61,0.83,0.91
17,649,663,14,0.73,0.96
18,664,713,49,0.84,0.96
19,714,717,3,0.21,1.0
20,718,745,27,0.28,0.78
21,746,766,20,0.54,0.98
22,767,784,17,0.63,0.93
23,785,810,25,0.53,0.76
24,811,908,97,0.89,0.93
25,909,941,32,0.89,0.98
26,942,947,5,0.8,1.0
27,948,961,13,0.81,0.99
28,962,992,30,0.9,0.98
29,993,1120,127,0.83,0.95
30,1121,1145,24,0.62,0.93
31,1146,1170,24,0.21,0.7
32,1171,1195,24,0.22,0.67
33,1196,1220,24,0.09,0.43
34,1221,1245,24,0.15,0.47
35,1246,1270,24,0.09,0.26
36,1271,1295,24,0.18,0.7
37,1296,1320,24,0.02,0.61
38,1321,1345,24,0.11,0.74
39,1346,1360,14,0.15,0.91
