,start,end,Delta,R2_Raw,R2_SGF
0,0,27,27,0.41,0.77
1,28,1094,1066,0.89,0.89
2,1095,1122,27,0.07,0.56
3,1123,1150,27,0.3,0.66
4,1151,1178,27,0.05,0.24
5,1179,1206,27,0.33,0.84
6,1207,1234,27,0.18,0.54
7,1235,1262,27,0.05,0.17
8,1263,1290,27,0.03,0.49
9,1291,1318,27,0.17,0.66
10,1319,1346,27,0.05,0.75
11,1347,1360,13,0.17,0.93
