,start,end,Delta,R2_Raw,R2_SGF
0,0,17,17,0.95,1.0
1,18,21,3,0.85,1.0
2,22,41,19,0.66,0.81
3,42,51,9,0.68,0.99
4,52,66,14,0.76,0.99
5,67,80,13,0.89,0.99
6,81,133,52,0.89,0.98
7,134,346,212,0.83,0.92
8,347,497,150,0.85,0.95
