,start,end,Delta,R2_Raw,R2_SGF
0,0,106,106,0.59,0.92
1,107,126,19,0.2,0.58
2,127,146,19,0.11,0.75
3,147,166,19,0.0,0.7
4,167,186,19,0.18,0.45
5,187,206,19,0.37,0.83
6,207,226,19,0.03,0.21
7,227,282,55,0.4,0.91
8,283,302,19,0.19,0.75
9,303,322,19,0.04,0.56
10,323,342,19,0.15,0.86
11,343,362,19,0.21,0.87
12,363,452,89,0.83,0.93
13,453,489,36,0.89,0.99
14,490,517,27,0.76,0.96
15,518,546,28,0.86,0.91
16,547,583,36,0.88,0.94
17,584,602,18,0.87,0.99
18,603,624,21,0.67,0.98
19,625,645,20,0.65,0.91
20,646,676,30,0.83,0.91
21,677,696,19,0.23,0.68
22,697,706,9,0.63,0.97
23,707,711,4,0.85,1.0
24,712,719,7,0.8,1.0
25,720,744,24,0.61,0.94
26,745,764,19,0.01,0.42
27,765,768,3,0.72,1.0
28,769,794,25,0.75,0.92
29,795,807,12,0.76,0.95
30,808,822,14,0.79,0.96
31,823,835,12,0.76,0.94
32,836,842,6,0.88,1.0
33,843,908,65,0.82,0.9
34,909,934,25,0.83,0.93
35,935,948,13,0.85,0.98
36,949,965,16,0.81,1.0
37,966,994,28,0.87,0.98
38,995,1091,96,0.83,0.97
39,1092,1111,19,0.21,0.72
40,1112,1131,19,0.1,0.74
41,1132,1151,19,0.47,0.88
42,1152,1171,19,0.07,0.58
43,1172,1191,19,0.1,0.5
44,1192,1211,19,0.13,0.55
45,1212,1231,19,0.03,0.36
46,1232,1251,19,0.04,0.76
47,1252,1271,19,0.25,0.84
48,1272,1302,30,0.37,0.9
49,1303,1322,19,0.08,0.47
50,1323,1342,19,0.09,0.49
51,1343,1360,17,0.07,0.7
