,Time,
0,53.11733365058899
,time
0,54.50434970855713
,time
0,53.78340244293213
,time
0,51.76965570449829
,time
0,56.66973376274109
,time
0,61.4162917137146
,time
0,53.655515909194946
,time
0,54.79854702949524
,time
0,52.59023571014404
,time
0,52.59023571014404
